family,n,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J
er,128,0.3,10,0.125,0.8,-79.44520568847656,1.3460693359375,9.90344924503006e-05,0.0028041666373610497,1.5585056999698281,48000.0,1.3832713627810256,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.0,-79.66844940185547,1.0073602199554443,0.0035898846108466387,0.027554167434573174,1.5690120999934152,96000.0,2.361260164841781,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.1,-80.28567504882812,0.8978273272514343,0.002846995135769248,0.022941667586565018,1.5760295999934897,96000.0,2.3362601648417787,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.2,-80.43013763427734,0.8311951160430908,0.0022053513675928116,0.018916666507720947,1.5643771999748424,96000.0,2.3112601648417783,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.3,-80.58773040771484,1.150428295135498,0.0015802078414708376,0.014800000004470348,1.5923221000703052,96000.0,2.2862601648417815,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.4,-80.74532318115234,0.8813495635986328,0.0012403192231431603,0.012008333578705788,1.580221499898471,96000.0,2.261260164841779,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.6,-80.28568267822266,0.9354577660560608,0.0007028367253951728,0.00853750016540289,1.5579094999702647,96000.0,2.211260164841782,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.25,0.8,-79.8260498046875,1.4170963764190674,0.0004161898687016219,0.005975000094622374,1.583914199960418,96000.0,2.1612601648417793,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.0,-41.67605972290039,5.800711154937744,0.1555052250623703,0.3217333257198334,1.6180658000521362,192000.0,5.722520329683559,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.1,-47.07353210449219,6.6389546394348145,0.15399117767810822,0.3186750113964081,1.6568317000055686,192000.0,5.672520329683566,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.2,-56.17436599731445,6.518152713775635,0.15218320488929749,0.31659168004989624,1.6309784000040963,192000.0,5.622520329683561,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.3,-68.25628662109375,8.768848419189453,0.1340099275112152,0.28201666474342346,1.6471248000161722,192000.0,5.572520329683568,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.4,-79.90484619140625,3.1862564086914062,0.023110713809728622,0.06130416691303253,1.7407798999920487,192000.0,5.522520329683565,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.6,-81.09990692138672,0.7940576672554016,0.0031750102061778307,0.017612500116229057,1.63432469998952,192000.0,5.422520329683565,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.5,0.8,-80.56147003173828,1.1610242128372192,0.0016934938030317426,0.012079166248440742,1.5483911000192165,192000.0,5.322520329683565,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.0,-22.844022750854492,2.9142959117889404,0.4500637948513031,0.6003375053405762,1.7142171999439597,288000.0,9.083780494525344,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.1,-23.395591735839844,2.9559555053710938,0.4500301480293274,0.6002916693687439,1.6952048999955878,288000.0,9.008780494525348,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.2,-25.470529556274414,3.26062273979187,0.4500020742416382,0.6003041863441467,1.6371085999999195,288000.0,8.93378049452536,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.3,-29.48908233642578,3.8306918144226074,0.44994258880615234,0.6002458333969116,1.6770284000085667,288000.0,8.858780494525355,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.4,-33.12678909301758,3.671238422393799,0.4498968720436096,0.6001874804496765,1.6730119000421837,288000.0,8.78378049452535,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.6,-44.683406829833984,4.009185314178467,0.44981491565704346,0.6001541614532471,1.6355747000779957,288000.0,8.633780494525352,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.75,0.8,-73.54869842529297,8.641120910644531,0.27145081758499146,0.3675958216190338,1.6081843000138178,288000.0,8.483780494525348,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.0,-8.88415241241455,7.028096675872803,0.9999999403953552,1.0,0.961082199937664,384000.0,12.445040659367121,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.1,-12.049090385437012,6.3083977699279785,0.9999999403953552,1.0,0.9185433000093326,384000.0,12.34504065936713,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.2,-15.214028358459473,5.58686637878418,0.9999999403953552,1.0,0.9267358999932185,384000.0,12.245040659367143,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.3,-19.771013259887695,3.181107997894287,0.9999986886978149,1.0,0.9109593998873606,384000.0,12.145040659367126,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.4,-21.754026412963867,2.9979567527770996,0.9999986886978149,1.0,0.9297750999685377,384000.0,12.045040659367128,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.6,-30.592214584350586,4.121311664581299,0.9999986886978149,1.0,0.9265303000574932,384000.0,11.845040659367136,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,1.0,0.8,-40.861846923828125,4.66757345199585,0.9999999403953552,1.0,0.9231069000670686,384000.0,11.645040659367117,-6.222520329683567,1.633085451124101,6.222520329683567
