family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J
sk,0.0625,0.6,5,-91.31676940917968,1.4423639413180087,1.9309600830078153,0.4853234565491254,3.611680658650584e-05,6.576457602082934e-06,0.0017366666812449398,0.00010862940962858923,1.8835803400026634,24000.0,1.2175070890676036,1.970346494447302
sk,0.0625,0.8,5,-90.66245574951172,1.5122423694013283,2.585273742675784,0.6921156729303267,1.9915819393645506e-05,4.272796589260411e-06,0.00123416667338456,0.000116867391985617,1.8839641199912875,24000.0,1.2300070890676023,1.970346494447302
sk,0.125,0.0,5,-92.16758270263672,1.869124619749947,1.0801467895507897,0.1706050078011047,0.00067450369242572,3.917411820682118e-05,0.010439999960362881,0.00051824026698763,1.8359723199857398,48000.0,1.3600141781352053,1.970346494447302
sk,0.125,0.1,5,-92.38601989746094,1.756130074688733,0.8617095947265596,0.1594387759587962,0.0005207367241382001,2.028723601727543e-05,0.00856250002980228,0.0003156646700602849,1.9377101599704474,48000.0,1.3725141781352046,1.970346494447302
sk,0.125,0.2,5,-92.53030853271484,1.9475265693668915,0.7174209594726648,0.1618419090642396,0.00040381852304558,2.2165041560749273e-05,0.0072375000454485,0.0003432381302500834,1.8700512799900024,48000.0,1.3850141781352014,1.970346494447302
sk,0.125,0.3,5,-92.3044204711914,1.695040277988903,0.9433090209960995,0.19614167802305407,0.00031735951197328,1.838090336657912e-05,0.0060683332383632,0.0004120009399678212,1.9164588999934495,48000.0,1.3975141781352027,1.970346494447302
sk,0.125,0.4,5,-92.45624389648438,1.7727433969089936,0.7914855957031222,0.22917105556975614,0.00024588240776203996,7.248661183180961e-06,0.00508583337068552,0.0002419646463829412,1.9339634400093928,48000.0,1.4100141781352025,1.970346494447302
sk,0.125,0.6,5,-92.32725219726562,1.8074467086199562,0.9204772949218807,0.3682347697200607,0.00014468426234081998,5.933510109815102e-06,0.00349750001914794,0.00017484119781727535,1.8832421199651435,48000.0,1.4350141781352042,1.970346494447302
sk,0.125,0.8,5,-91.748388671875,1.4978089588785195,1.499340820312503,0.4369129066066688,8.042420377023518e-05,5.9712122569971036e-06,0.00228333333507174,8.462543684706736e-05,1.8310779800172896,48000.0,1.4600141781352032,1.970346494447302
sk,0.25,0.0,5,-92.7003387451172,1.9877811004166177,0.5473907470703153,0.19186358079395413,0.00281394654884932,0.00018761560725026233,0.021381666511297182,0.0009754032619437514,1.9796506599988788,96000.0,1.7200283562704073,1.970346494447302
sk,0.25,0.1,5,-92.94811248779297,1.9444509786576072,0.2996170043945369,0.20854485285585397,0.00220077862031754,0.00010942338501120912,0.01777999997138972,0.0008199257001087725,1.8816108200000599,96000.0,1.7450283562704008,1.970346494447302
sk,0.25,0.2,5,-92.91195678710938,1.7438658230439372,0.3357727050781307,0.08995617752728116,0.00174483286682512,8.579749213439935e-05,0.015056666731834381,0.0007371030704393954,1.8796659599756822,96000.0,1.7700283562704022,1.970346494447302
sk,0.25,0.3,5,-92.8810028076172,1.758170499021331,0.3667266845703182,0.11404309025970565,0.00134841841645532,7.249732260084946e-05,0.012555833347141698,0.000493381509666817,1.826571820024401,96000.0,1.7950283562704055,1.970346494447302
sk,0.25,0.4,5,-92.93659210205078,1.7402264770823355,0.3111373901367216,0.15641362636039238,0.0010096402373164601,3.923052570103378e-05,0.01015999987721438,0.0002556075053310562,1.875780039955862,96000.0,1.8200283562704036,1.970346494447302
sk,0.25,0.6,5,-92.8026336669922,1.6554586409102716,0.4450958251953153,0.2566464171362052,0.0005788721726275601,2.730233433937257e-05,0.00697416663169856,0.0002189265183348333,1.9511939999647439,96000.0,1.8700283562704036,1.970346494447302
sk,0.25,0.8,5,-92.5682861328125,1.776779840095646,0.6794433593750029,0.12451759329195201,0.0003274129936471,1.5545930851124555e-05,0.00470500001683826,0.00013418988212456203,1.8925732400035487,96000.0,1.920028356270405,1.970346494447302
sk,0.5,0.0,5,-92.79471588134766,1.9296225576332542,0.4530136108398466,0.18327024433604192,0.0129069117829203,0.000928980795998835,0.04652250036597248,0.003056784657824063,2.0397840799530966,192000.0,2.440056712540808,1.970346494447302
sk,0.5,0.1,5,-92.94100189208984,1.8814589532154433,0.30672760009765626,0.10482000998831388,0.010253890231251662,0.0005854284164981828,0.03878333270549768,0.0020511958205682453,1.9560483199777081,192000.0,2.4900567125408033,1.970346494447302
sk,0.5,0.2,5,-93.02764434814453,1.8255975464363075,0.22008514404297158,0.06090422462652001,0.007837372645735679,0.00047680728293262323,0.03185083344578738,0.0015890452222488765,1.973383660032414,192000.0,2.540056712540813,1.970346494447302
sk,0.5,0.3,5,-93.04617919921876,1.7937681371483734,0.20155029296875285,0.1217597712384038,0.00595646928995846,0.000338568612177603,0.02620249986648556,0.0015717273892602768,1.9999158799881116,192000.0,2.5900567125408074,1.970346494447302
sk,0.5,0.4,5,-93.14774322509766,1.8335627459444501,0.09998626708984659,0.12195997647084886,0.00450879279524082,0.0001554731921101041,0.021375833079218802,0.0007489426842804323,1.8789904600009322,192000.0,2.6400567125408108,1.970346494447302
sk,0.5,0.6,5,-93.03004455566406,1.923861355376557,0.2176849365234375,0.24488785224495274,0.00251863845624024,0.0001635716865580819,0.01439416669309134,0.0007065762427320404,1.9849465199979022,192000.0,2.740056712540812,1.970346494447302
sk,0.5,0.8,5,-92.81555480957032,1.6649773056254982,0.43217468261719605,0.2639717427861314,0.0014180293539538202,7.275014948661796e-05,0.0096916666254401,0.0004467668675675746,1.9997755599906668,192000.0,2.840056712540816,1.970346494447302
sk,0.75,0.0,5,-92.63851013183594,1.988949532631836,0.6092193603515682,0.25171153808865143,0.03686528578400604,0.00310250382132572,0.0802408337593078,0.00581951824157979,1.87619745999109,288000.0,3.1600850688112097,1.970346494447302
sk,0.75,0.1,5,-92.93657073974609,1.947161733226359,0.3111587524414091,0.16805713320503549,0.02841061465442176,0.0024795777036000204,0.06591749936342237,0.005202187149350663,1.888882640004158,288000.0,3.235085068811216,1.970346494447302
sk,0.75,0.2,5,-93.06951751708985,1.9426632358750677,0.17821197509765624,0.18015228099813443,0.021229713037610003,0.0017560516847636794,0.05314666703343386,0.004302649200316992,1.8844094400294125,288000.0,3.310085068811214,1.970346494447302
sk,0.75,0.3,5,-93.16367645263671,1.8594587713814617,0.08405303955079262,0.06572074149595179,0.015689074061810897,0.0010522616394687575,0.042350833863019896,0.0024124961992491307,1.8858065000036732,288000.0,3.385085068811221,1.970346494447302
sk,0.75,0.4,5,-93.14547271728516,1.8152205977201534,0.1022567749023466,0.12663835581098493,0.01155479904264208,0.0006201441315064416,0.03414250090718264,0.002180439939150885,1.9002723399782553,288000.0,3.4600850688112184,1.970346494447302
sk,0.75,0.6,5,-93.16423797607422,1.8545476911251058,0.08349151611328694,0.07233405510000987,0.00636497205123298,0.00040540265351236837,0.02260916642844672,0.0013704863422522849,1.9163597600068898,288000.0,3.610085068811217,1.970346494447302
sk,0.75,0.8,5,-93.0899887084961,1.767461044839434,0.1577407836914034,0.14073341171843382,0.0033486028667538796,0.00012069121490059369,0.01498833354562518,0.000719726903873672,1.884328499971889,288000.0,3.7600850688112133,1.970346494447302
sk,1.0,0.0,5,-66.01089096069336,18.146193728094246,27.23683853149414,16.947681329754463,0.5225569874048233,0.24841497261828152,0.5598216652870178,0.2476372636828831,1.279430940025486,384000.0,3.9406929888946136,1.970346494447302
sk,1.0,0.1,5,-92.32041931152344,2.215092187115188,0.9273101806640625,0.4777438875872789,0.13132380247116085,0.04901097719034965,0.16883166432380672,0.05085581578884503,1.271320639993064,384000.0,3.980113425081614,1.970346494447302
sk,1.0,0.2,5,-92.99346466064453,1.9286932484398072,0.25426483154296875,0.15427615392124794,0.06132795512676235,0.009142769662723956,0.0950966656208038,0.01119300213577099,1.2729409599909558,384000.0,4.080113425081619,1.970346494447302
sk,1.0,0.3,5,-93.16552429199218,1.8205283265168095,0.08220520019531534,0.03645589698302866,0.038786197453737195,0.0039843660801598116,0.06794333159923548,0.005355622166812372,1.2151137799955904,384000.0,4.180113425081618,1.970346494447302
sk,1.0,0.4,5,-93.24198303222656,1.8076133802968035,0.005746459960940342,0.006630061053089517,0.02635150551795954,0.0024521321158436377,0.05201666727662082,0.0041474215416869705,1.2418020199984312,384000.0,4.280113425081618,1.970346494447302
sk,1.0,0.6,5,-93.11821594238282,1.8197272183486566,0.12951354980468466,0.20576341567054296,0.012732426449656439,0.0005480973154978655,0.03186583295464508,0.0011706678598731885,1.1481452399864793,384000.0,4.480113425081624,1.970346494447302
sk,1.0,0.8,5,-93.04290313720703,1.7584143280453755,0.20482635498047444,0.12975292886552608,0.00646105948835606,0.00035382751263986006,0.020305000245571102,0.0012415175061357944,1.2004788600141183,384000.0,4.680113425081624,1.970346494447302
