family,n,n_spins,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J,n_cities,tsp_feasible_rate,constraint_violation_mean,constraint_violation_std,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories,tsp_A,tsp_B
tsp,10,100,,100,0.5,0.2,-43.97221755981445,0.18027718365192413,0.02921990118920803,0.13129599392414093,1.54339629993774,150000.0,0.7312958205295956,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,8.0,1.4966629547095767,6.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.3,-44.09210968017578,0.18200847506523132,0.02376239188015461,0.1164906769990921,1.441410299972631,150000.0,0.7812958205295975,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.96,1.6119553343687907,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.4,-44.039161682128906,0.18466676771640778,0.018647855147719383,0.10220799595117569,1.5139693999662995,150000.0,0.831295820529598,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.36,1.4664242223858688,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.6,-44.11665344238281,0.12232106924057007,0.01109832338988781,0.07683733850717545,1.5190648999996483,150000.0,0.9312958205295991,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.88,0.9927738916792685,6.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.8,-44.17723083496094,0.14425399899482727,0.00603882223367691,0.05593600124120712,1.3872143999906257,150000.0,1.0312958205295961,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.32,1.2237646832622684,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.0,-44.075679779052734,0.11873100697994232,0.10433457046747208,0.25674131512641907,1.4467087000375614,225000.0,1.3771654207133652,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.52,1.0244998779892558,6.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.1,-44.11174392700195,0.14655214548110962,0.08785407245159149,0.23099201917648315,1.587169999955222,225000.0,1.3021654207133626,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.28,1.2496399481450648,6.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.2,-44.07467269897461,0.1291694939136505,0.07231239229440689,0.20659202337265015,1.5227994000306353,225000.0,1.2271654207133635,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.2,1.2649110640673518,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.3,-44.11393737792969,0.11591343581676483,0.0579894594848156,0.18237867951393127,1.4383083999855444,225000.0,1.1521654207133631,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.2,0.9797958971132712,6.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.4,-44.177093505859375,0.1416536569595337,0.04542257636785507,0.15966401994228363,1.5257415999658406,225000.0,1.0771654207133643,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.32,1.2237646832622686,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.6,-44.217899322509766,0.14672493934631348,0.026519328355789185,0.11838933825492859,1.6212228999938816,225000.0,0.9271654207133637,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.24,1.3047605144240073,2.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.8,-44.24848556518555,0.14302468299865723,0.014545300044119358,0.08554667234420776,1.4026819999562576,225000.0,1.0469437307943956,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.84,1.2547509713086498,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.0,-44.02057647705078,0.14255337417125702,0.44371238350868225,0.5728639960289001,1.0594701000954956,300000.0,2.169553894284487,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,8.72,1.3717142559585798,6.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.1,-44.160621643066406,0.09036875516176224,0.3496750593185425,0.48585599660873413,1.1555725000798702,300000.0,2.0695538942844856,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,7.36,0.9329523031752481,6.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.2,-44.25620651245117,0.1080055758357048,0.22838453948497772,0.3713279962539673,1.1442931999918073,300000.0,1.969553894284485,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.32,1.085172797300043,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.3,-44.27280807495117,0.11343476176261902,0.13925422728061676,0.2800213396549225,1.066717299981974,300000.0,1.8695538942844823,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.16,1.1199999999999999,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.4,-44.2862434387207,0.10618188977241516,0.09767823666334152,0.2308426797389984,1.0350814999546856,300000.0,1.7695538942844817,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.84,0.9666436778875657,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.6,-44.287166595458984,0.14473192393779755,0.05240500718355179,0.16437332332134247,1.008232600055635,300000.0,1.5695538942844849,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.68,1.3481839637082176,2.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.8,-44.262855529785156,0.1253230720758438,0.02807120606303215,0.11733333021402359,1.079277400043793,300000.0,1.3695538942844838,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.84,1.1199999999999999,4.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.0,-43.53688049316406,0.2598811089992523,0.0005717264139093459,0.01905599981546402,1.5468672000570223,18000.0,0.9537867845814155,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,9.92,1.44,6.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.1,-43.57240676879883,0.23404335975646973,0.0004826643562410027,0.01714666746556759,1.4469866999424994,18000.0,0.9600367845814156,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,10.24,1.5304901175767194,8.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.2,-43.6925163269043,0.2038705199956894,0.00038760967436246574,0.01519466657191515,1.4052876000059769,18000.0,0.9662867845814168,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,9.44,1.6511813952440235,6.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.3,-43.83075714111328,0.23700380325317383,0.00030731168226338923,0.013365333899855614,1.5633296000305563,18000.0,0.9725367845814178,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,9.12,1.9661129163911213,6.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.4,-43.86851119995117,0.2407328188419342,0.00024597361334599555,0.011967998929321766,1.4126973000820726,18000.0,0.9787867845814149,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.64,1.9365949499056327,4.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.6,-43.9703483581543,0.189551442861557,0.0001504824758740142,0.00887999963015318,1.3797665000893176,18000.0,0.9912867845814178,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.0,1.4966629547095767,4.0,,0,4.0,1.0
tsp,10,100,,101,0.0625,0.8,-43.96568298339844,0.16797088086605072,9.048591164173558e-05,0.006613333243876696,1.4651756000239402,18000.0,1.0037867845814172,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,7.68,1.4620533505997653,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.0,-43.574642181396484,0.2247777283191681,0.0022456685546785593,0.038202669471502304,1.5995031000347808,36000.0,0.9075735691628378,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,10.24,1.4221111067704943,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.1,-43.635780334472656,0.19925810396671295,0.0018551178509369493,0.03455466777086258,1.4193862999090925,36000.0,0.9200735691628337,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,9.68,1.4620533505997653,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.2,-43.631954193115234,0.18900954723358154,0.0015080126468092203,0.031029334291815758,1.4528291000751778,36000.0,0.9325735691628309,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,10.0,1.4966629547095767,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.3,-43.821754455566406,0.23845839500427246,0.0012225296813994646,0.027557332068681717,1.5629852000856772,36000.0,0.9450735691628337,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.56,1.444437606821423,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.4,-43.93843078613281,0.2161192148923874,0.0009589464752934873,0.02393599972128868,1.4744811999844387,36000.0,0.9575735691628317,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.16,1.68949696655543,4.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.6,-44.03608322143555,0.1509026288986206,0.0005850345478393137,0.018175998702645302,1.4087468000361696,36000.0,0.9825735691628358,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,7.52,1.2998461447417538,6.0,,0,4.0,1.0
tsp,10,100,,101,0.125,0.8,-43.98841857910156,0.14677302539348602,0.0003219153149984777,0.013306667096912861,1.5367012999486178,36000.0,1.0075735691628298,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.16,1.2547509713086498,6.0,,0,4.0,1.0
