family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J,tsp_feasible_rate,constraint_violation_mean,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories
tsp,0.25,0.3,5,-43.94340896606446,0.07401528308433995,0.4150642395019489,0.03065648243389834,0.00566861862316722,2.398925178580803e-05,0.057356799393892245,0.0006778953747466773,1.5603023000294343,75000.0,0.8920124146968625,1.084194387392303,0.0,8.352,5.2,,0
tsp,0.25,0.4,5,-44.02731781005859,0.04723392346886581,0.3311553955078111,0.0205898511249508,0.00451051667332644,4.348421864676276e-05,0.0504479996860027,0.00029603617391160545,1.5748266800306738,75000.0,0.917012414696862,1.084194387392303,0.0,7.6,5.6,,0
tsp,0.25,0.6,5,-44.123575592041014,0.036483361259122736,0.23489761352539062,0.042368442518793924,0.00265878522768612,2.2033972644046725e-05,0.03796479851007458,0.000371146709213149,1.5904392400057987,75000.0,0.9670124146968613,1.084194387392303,0.0,7.023999999999999,4.4,,0
tsp,0.25,0.8,5,-44.19381103515625,0.021263577935769024,0.16466217041015624,0.03573636692971267,0.00149105296004558,1.5205802507282745e-05,0.027613867446780137,0.0003801214883652259,1.5885847400175408,75000.0,1.0170124146968624,1.084194387392303,0.0,6.4799999999999995,3.6,,0
tsp,0.5,0.0,5,-43.79020385742187,0.0662781474558943,0.5682693481445327,0.04525532652613305,0.04245603755116458,0.0001939919327596597,0.1644714772701263,0.0011236646173885929,1.632957959966734,150000.0,0.634024829393723,1.084194387392303,0.0,9.408,6.8,,0
tsp,0.5,0.1,5,-43.9018669128418,0.04173407003466426,0.4566062927246108,0.026931117349949855,0.03573499172925944,0.0001647722833110275,0.14850239753723143,0.0012251045878226804,1.6074658200377598,150000.0,0.6840248293937219,1.084194387392303,0.0,8.784,6.4,,0
tsp,0.5,0.2,5,-43.993787384033205,0.01950269090044294,0.3646858215332017,0.04397081252851002,0.029519019275903658,0.00023247268723277173,0.13289813101291653,0.0011095813291965044,1.613436200004071,150000.0,0.7340248293937233,1.084194387392303,0.0,8.016,5.6,,0
tsp,0.5,0.3,5,-44.06291732788086,0.03824723282334947,0.2955558776855483,0.06173425192862918,0.02388246841728682,0.00016474803137670008,0.11755947172641752,0.0010040375734009488,1.560061680036597,150000.0,0.7840248293937233,1.084194387392303,0.0,7.5680000000000005,4.0,,0
tsp,0.5,0.4,5,-44.123766326904295,0.0797738476887263,0.23470687866210654,0.038903811855451824,0.018845302611589378,0.0002090772839268098,0.10328213572502132,0.0009523479465378783,1.558832999994047,150000.0,0.8340248293937232,1.084194387392303,0.0,7.008,4.0,,0
tsp,0.5,0.6,5,-44.186936950683595,0.054154532728721234,0.17153625488281393,0.028398530690929097,0.01119528580456968,0.00013311011742785423,0.07728000432252881,0.0008062262933155025,1.5803200399968775,150000.0,0.9340248293937217,1.084194387392303,0.0,6.624,4.8,,0
